[Epoch 1] [train LL: -6981.9569; val LL: -1350.1048] [train 4.46s; val 1.39s] ✓ improved
[Epoch 272] [train LL: -242.7787; val LL: -290.9106] [train 1.88s; val 0.06s] no improve (2/50)
[Epoch 273] [train LL: -243.3863; val LL: -290.6412] [train 1.88s; val 0.06s] no improve (3/50)
[Epoch 274] [train LL: -243.2550; val LL: -290.6409] [train 1.88s; val 0.06s] no improve (4/50)
[Epoch 275] [train LL: -243.6407; val LL: -290.6795] [train 1.88s; val 0.06s] no improve (5/50)
[Epoch 276] [train LL: -243.2798; val LL: -290.4660] [train 1.88s; val 0.06s] ✓ improved
[Epoch 277] [train LL: -243.1273; val LL: -290.4179] [train 1.89s; val 0.07s] ✓ improved
[Epoch 278] [train LL: -242.0468; val LL: -290.3507] [train 1.89s; val 0.07s] ✓ improved
[Epoch 279] [train LL: -242.2833; val LL: -290.3152] [train 1.91s; val 0.07s] ✓ improved
[Epoch 280] [train LL: -241.2986; val LL: -290.0190] [train 1.90s; val 0.07s] ✓ improved
[Epoch 281] [train LL: -241.3755; val LL: -289.8792] [train 1.89s; val 0.06s] ✓ improved
[Epoch 282] [train LL: -242.3029; val LL: -289.8586] [train 1.87s; val 0.06s] ✓ improved
[Epoch 283] [train LL: -241.8877; val LL: -289.7240] [train 1.89s; val 0.06s] ✓ improved
[Epoch 284] [train LL: -242.6629; val LL: -289.6017] [train 1.87s; val 0.06s] ✓ improved
[Epoch 285] [train LL: -242.0005; val LL: -289.6135] [train 1.87s; val 0.06s] no improve (1/50)
[Epoch 286] [train LL: -243.0202; val LL: -289.9338] [train 1.88s; val 0.06s] no improve (2/50)
[Epoch 287] [train LL: -242.1929; val LL: -289.9492] [train 1.88s; val 0.06s] no improve (3/50)
[Epoch 288] [train LL: -242.6445; val LL: -289.9351] [train 1.88s; val 0.06s] no improve (4/50)
[Epoch 289] [train LL: -241.7297; val LL: -289.6612] [train 1.88s; val 0.06s] no improve (5/50)
[Epoch 290] [train LL: -241.9779; val LL: -289.4082] [train 1.88s; val 0.06s] ✓ improved
[Epoch 291] [train LL: -241.7755; val LL: -289.6467] [train 1.87s; val 0.06s] no improve (1/50)
[Epoch 292] [train LL: -241.7728; val LL: -289.7699] [train 1.88s; val 0.06s] no improve (2/50)
[Epoch 293] [train LL: -241.1426; val LL: -289.3040] [train 1.87s; val 0.06s] ✓ improved
[Epoch 294] [train LL: -240.8354; val LL: -289.3480] [train 1.88s; val 0.06s] no improve (1/50)
[Epoch 295] [train LL: -240.9721; val LL: -289.3524] [train 1.87s; val 0.06s] no improve (2/50)
[Epoch 296] [train LL: -240.9357; val LL: -289.2605] [train 1.87s; val 0.06s] ✓ improved
[Epoch 297] [train LL: -241.1452; val LL: -289.1923] [train 1.88s; val 0.06s] ✓ improved
[Epoch 298] [train LL: -240.2542; val LL: -289.0937] [train 1.87s; val 0.06s] ✓ improved
[Epoch 299] [train LL: -240.6110; val LL: -288.7196] [train 1.89s; val 0.06s] ✓ improved
[Epoch 300] [train LL: -241.1067; val LL: -288.9986] [train 1.89s; val 0.06s] no improve (1/50)
[Epoch 301] [train LL: -240.8173; val LL: -289.1215] [train 1.89s; val 0.06s] no improve (2/50)
[Epoch 302] [train LL: -240.3757; val LL: -288.8580] [train 1.89s; val 0.06s] no improve (3/50)
[Epoch 303] [train LL: -239.9191; val LL: -288.7600] [train 1.90s; val 0.06s] no improve (4/50)
[Epoch 304] [train LL: -240.2235; val LL: -288.8156] [train 1.89s; val 0.06s] no improve (5/50)
[Epoch 305] [train LL: -240.0631; val LL: -288.7436] [train 1.89s; val 0.06s] no improve (6/50)
[Epoch 306] [train LL: -239.9051; val LL: -288.6651] [train 1.89s; val 0.06s] ✓ improved
[Epoch 307] [train LL: -240.6750; val LL: -288.7287] [train 1.88s; val 0.06s] no improve (1/50)
[Epoch 308] [train LL: -240.5886; val LL: -288.5071] [train 1.88s; val 0.06s] ✓ improved
[Epoch 309] [train LL: -240.3700; val LL: -288.5818] [train 1.88s; val 0.06s] no improve (1/50)
[Epoch 310] [train LL: -239.4977; val LL: -288.5251] [train 1.88s; val 0.06s] no improve (2/50)
[Epoch 311] [train LL: -240.2417; val LL: -288.4871] [train 1.88s; val 0.06s] ✓ improved
[Epoch 312] [train LL: -240.2690; val LL: -288.5270] [train 1.87s; val 0.06s] no improve (1/50)
[Epoch 313] [train LL: -240.2165; val LL: -288.5325] [train 1.87s; val 0.06s] no improve (2/50)
[Epoch 314] [train LL: -239.3265; val LL: -288.4141] [train 1.87s; val 0.06s] ✓ improved
[Epoch 315] [train LL: -239.7794; val LL: -288.5460] [train 1.87s; val 0.06s] no improve (1/50)
[Epoch 316] [train LL: -239.2837; val LL: -288.5015] [train 1.87s; val 0.06s] no improve (2/50)
[Epoch 317] [train LL: -239.8876; val LL: -288.3951] [train 1.91s; val 0.06s] ✓ improved
[Epoch 318] [train LL: -240.0028; val LL: -288.1140] [train 1.89s; val 0.06s] ✓ improved
[Epoch 319] [train LL: -239.1869; val LL: -288.3344] [train 1.88s; val 0.06s] no improve (1/50)
[Epoch 320] [train LL: -239.5329; val LL: -288.3098] [train 1.87s; val 0.06s] no improve (2/50)
[Epoch 321] [train LL: -239.1122; val LL: -288.1815] [train 1.89s; val 0.06s] no improve (3/50)
[Epoch 322] [train LL: -239.3673; val LL: -288.1843] [train 1.89s; val 0.06s] no improve (4/50)
[Epoch 323] [train LL: -238.8221; val LL: -287.9041] [train 1.90s; val 0.07s] ✓ improved
[Epoch 324] [train LL: -239.6723; val LL: -287.9311] [train 1.91s; val 0.06s] no improve (1/50)
[Epoch 325] [train LL: -238.7754; val LL: -287.8618] [train 1.89s; val 0.07s] ✓ improved
[Epoch 326] [train LL: -239.7965; val LL: -287.8530] [train 1.93s; val 0.07s] ✓ improved
[Epoch 327] [train LL: -238.5898; val LL: -287.7173] [train 1.92s; val 0.07s] ✓ improved
[Epoch 328] [train LL: -239.7077; val LL: -288.1193] [train 1.94s; val 0.07s] no improve (1/50)
[Epoch 329] [train LL: -238.4314; val LL: -288.5023] [train 1.92s; val 0.06s] no improve (2/50)
[Epoch 330] [train LL: -239.0806; val LL: -288.0227] [train 1.90s; val 0.06s] no improve (3/50)
[Epoch 331] [train LL: -239.0729; val LL: -287.9969] [train 1.92s; val 0.06s] no improve (4/50)
[Epoch 332] [train LL: -238.3404; val LL: -287.9980] [train 1.93s; val 0.06s] no improve (5/50)
[Epoch 333] [train LL: -238.4985; val LL: -287.8287] [train 1.91s; val 0.07s] no improve (6/50)
[Epoch 334] [train LL: -238.7882; val LL: -288.1774] [train 1.88s; val 0.07s] no improve (7/50)
[Epoch 335] [train LL: -238.0507; val LL: -288.0225] [train 1.93s; val 0.06s] no improve (8/50)
[Epoch 336] [train LL: -238.9534; val LL: -288.2101] [train 1.93s; val 0.07s] no improve (9/50)
[Epoch 337] [train LL: -238.1793; val LL: -287.9748] [train 1.93s; val 0.06s] no improve (10/50)
[Epoch 338] [train LL: -238.9905; val LL: -288.1300] [train 1.92s; val 0.06s] no improve (11/50)
[Epoch 339] [train LL: -237.8083; val LL: -287.9939] [train 1.94s; val 0.07s] no improve (12/50)
[Epoch 340] [train LL: -237.7188; val LL: -287.6773] [train 1.92s; val 0.06s] ✓ improved
[Epoch 341] [train LL: -238.4831; val LL: -287.9787] [train 1.91s; val 0.06s] no improve (1/50)
[Epoch 342] [train LL: -238.2206; val LL: -287.5874] [train 1.91s; val 0.06s] ✓ improved
[Epoch 343] [train LL: -238.3011; val LL: -287.5323] [train 1.91s; val 0.06s] ✓ improved
[Epoch 344] [train LL: -239.5140; val LL: -287.8477] [train 1.90s; val 0.07s] no improve (1/50)
[Epoch 345] [train LL: -239.1583; val LL: -287.7417] [train 1.91s; val 0.06s] no improve (2/50)
[Epoch 346] [train LL: -237.9147; val LL: -287.7768] [train 1.96s; val 0.07s] no improve (3/50)
[Epoch 347] [train LL: -238.1323; val LL: -287.6968] [train 1.93s; val 0.06s] no improve (4/50)
[Epoch 348] [train LL: -237.6153; val LL: -287.7227] [train 1.94s; val 0.06s] no improve (5/50)
[Epoch 349] [train LL: -237.5952; val LL: -287.6756] [train 1.93s; val 0.06s] no improve (6/50)
[Epoch 350] [train LL: -237.6913; val LL: -287.8940] [train 1.93s; val 0.07s] no improve (7/50)
[Epoch 351] [train LL: -238.6144; val LL: -287.4715] [train 1.94s; val 0.06s] ✓ improved
[Epoch 352] [train LL: -238.0644; val LL: -287.6559] [train 1.90s; val 0.07s] no improve (1/50)
[Epoch 353] [train LL: -237.3278; val LL: -287.6593] [train 1.90s; val 0.06s] no improve (2/50)
[Epoch 354] [train LL: -237.4451; val LL: -287.6462] [train 1.88s; val 0.06s] no improve (3/50)
[Epoch 355] [train LL: -238.0959; val LL: -287.4163] [train 1.95s; val 0.06s] ✓ improved
[Epoch 356] [train LL: -237.2748; val LL: -287.6582] [train 1.96s; val 0.07s] no improve (1/50)
[Epoch 357] [train LL: -237.7774; val LL: -287.6058] [train 1.94s; val 0.06s] no improve (2/50)
[Epoch 358] [train LL: -237.8045; val LL: -287.5548] [train 1.92s; val 0.07s] no improve (3/50)
[Epoch 359] [train LL: -237.6702; val LL: -287.1483] [train 1.93s; val 0.06s] ✓ improved
[Epoch 360] [train LL: -237.6904; val LL: -287.1844] [train 1.92s; val 0.07s] no improve (1/50)
[Epoch 361] [train LL: -238.2791; val LL: -287.1678] [train 1.96s; val 0.07s] no improve (2/50)
[Epoch 362] [train LL: -237.5996; val LL: -287.4805] [train 1.94s; val 0.07s] no improve (3/50)
[Epoch 363] [train LL: -237.0692; val LL: -287.4880] [train 1.92s; val 0.07s] no improve (4/50)
[Epoch 364] [train LL: -236.8567; val LL: -287.0101] [train 1.93s; val 0.07s] ✓ improved
[Epoch 365] [train LL: -237.6570; val LL: -286.9975] [train 1.94s; val 0.07s] ✓ improved
[Epoch 366] [train LL: -237.4273; val LL: -287.0183] [train 1.93s; val 0.06s] no improve (1/50)
[Epoch 367] [train LL: -237.7251; val LL: -286.9398] [train 1.90s; val 0.06s] ✓ improved
[Epoch 368] [train LL: -236.5049; val LL: -286.9410] [train 1.91s; val 0.06s] no improve (1/50)
[Epoch 369] [train LL: -237.2409; val LL: -286.9502] [train 1.92s; val 0.06s] no improve (2/50)
[Epoch 370] [train LL: -236.8046; val LL: -286.8559] [train 1.93s; val 0.07s] ✓ improved
[Epoch 371] [train LL: -236.4070; val LL: -286.9510] [train 1.95s; val 0.07s] no improve (1/50)
[Epoch 372] [train LL: -236.8846; val LL: -286.7546] [train 1.93s; val 0.06s] ✓ improved
[Epoch 373] [train LL: -236.7448; val LL: -286.8810] [train 1.90s; val 0.06s] no improve (1/50)
[Epoch 374] [train LL: -236.9134; val LL: -287.2804] [train 1.90s; val 0.07s] no improve (2/50)
[Epoch 375] [train LL: -236.4673; val LL: -286.7060] [train 1.89s; val 0.06s] ✓ improved
[Epoch 376] [train LL: -236.8019; val LL: -286.7105] [train 1.91s; val 0.07s] no improve (1/50)
[Epoch 377] [train LL: -236.1535; val LL: -286.6507] [train 1.94s; val 0.06s] ✓ improved
[Epoch 378] [train LL: -236.6053; val LL: -286.5685] [train 1.92s; val 0.06s] ✓ improved
[Epoch 379] [train LL: -235.9778; val LL: -286.5610] [train 1.96s; val 0.07s] ✓ improved
[Epoch 380] [train LL: -237.3151; val LL: -286.6123] [train 1.94s; val 0.06s] no improve (1/50)
[Epoch 381] [train LL: -236.9187; val LL: -286.4899] [train 1.92s; val 0.06s] ✓ improved
[Epoch 382] [train LL: -235.8837; val LL: -286.4342] [train 1.95s; val 0.07s] ✓ improved
[Epoch 383] [train LL: -236.4184; val LL: -286.3942] [train 1.91s; val 0.06s] ✓ improved
[Epoch 384] [train LL: -236.3623; val LL: -286.3966] [train 1.92s; val 0.07s] no improve (1/50)
[Epoch 385] [train LL: -236.8045; val LL: -286.2871] [train 1.91s; val 0.06s] ✓ improved
[Epoch 386] [train LL: -235.8404; val LL: -286.3229] [train 1.89s; val 0.06s] no improve (1/50)
[Epoch 387] [train LL: -235.3892; val LL: -286.2756] [train 1.92s; val 0.06s] ✓ improved
[Epoch 388] [train LL: -236.3892; val LL: -286.2564] [train 1.93s; val 0.06s] ✓ improved
[Epoch 389] [train LL: -236.7761; val LL: -286.1930] [train 1.91s; val 0.06s] ✓ improved
[Epoch 390] [train LL: -234.8828; val LL: -286.2791] [train 1.91s; val 0.07s] no improve (1/50)
[Epoch 391] [train LL: -235.6766; val LL: -286.2003] [train 1.90s; val 0.06s] no improve (2/50)
[Epoch 392] [train LL: -235.3210; val LL: -286.1448] [train 1.90s; val 0.06s] ✓ improved
[Epoch 393] [train LL: -235.1652; val LL: -285.9983] [train 1.92s; val 0.06s] ✓ improved
[Epoch 394] [train LL: -235.3436; val LL: -286.0976] [train 1.89s; val 0.06s] no improve (1/50)
[Epoch 395] [train LL: -235.5842; val LL: -286.0013] [train 1.90s; val 0.06s] no improve (2/50)
[Epoch 396] [train LL: -235.2204; val LL: -286.1203] [train 1.89s; val 0.06s] no improve (3/50)
[Epoch 397] [train LL: -235.7659; val LL: -285.9760] [train 1.90s; val 0.06s] ✓ improved
[Epoch 398] [train LL: -235.3427; val LL: -285.9621] [train 1.90s; val 0.06s] ✓ improved
[Epoch 399] [train LL: -235.4279; val LL: -286.2968] [train 1.92s; val 0.06s] no improve (1/50)
[Epoch 400] [train LL: -234.8259; val LL: -286.2711] [train 1.91s; val 0.06s] no improve (2/50)
[Epoch 401] [train LL: -235.6526; val LL: -286.2577] [train 1.92s; val 0.07s] no improve (3/50)
[Epoch 402] [train LL: -235.4228; val LL: -286.1118] [train 1.94s; val 0.07s] no improve (4/50)
[Epoch 403] [train LL: -235.0429; val LL: -286.0291] [train 1.94s; val 0.07s] no improve (5/50)
[Epoch 404] [train LL: -234.4719; val LL: -286.0947] [train 1.95s; val 0.07s] no improve (6/50)
[Epoch 405] [train LL: -234.9175; val LL: -286.1014] [train 1.94s; val 0.08s] no improve (7/50)
[Epoch 406] [train LL: -235.0167; val LL: -286.0678] [train 1.93s; val 0.07s] no improve (8/50)
[Epoch 407] [train LL: -235.1602; val LL: -285.7454] [train 1.92s; val 0.06s] ✓ improved
[Epoch 408] [train LL: -234.6152; val LL: -286.0295] [train 1.90s; val 0.07s] no improve (1/50)
[Epoch 409] [train LL: -236.3351; val LL: -285.6946] [train 1.91s; val 0.06s] ✓ improved
[Epoch 410] [train LL: -235.1384; val LL: -285.8683] [train 1.94s; val 0.06s] no improve (1/50)
[Epoch 411] [train LL: -234.6707; val LL: -285.9118] [train 1.92s; val 0.07s] no improve (2/50)
[Epoch 412] [train LL: -234.7701; val LL: -285.9566] [train 1.93s; val 0.06s] no improve (3/50)
[Epoch 413] [train LL: -235.6829; val LL: -285.9466] [train 1.92s; val 0.06s] no improve (4/50)
[Epoch 414] [train LL: -234.6312; val LL: -285.9378] [train 1.92s; val 0.07s] no improve (5/50)
[Epoch 415] [train LL: -234.4274; val LL: -285.9617] [train 1.91s; val 0.06s] no improve (6/50)
[Epoch 416] [train LL: -233.5639; val LL: -285.8347] [train 1.93s; val 0.07s] no improve (7/50)
[Epoch 417] [train LL: -233.6125; val LL: -285.7688] [train 1.93s; val 0.06s] no improve (8/50)
[Epoch 418] [train LL: -234.8620; val LL: -285.5448] [train 1.90s; val 0.07s] ✓ improved
[Epoch 419] [train LL: -234.1375; val LL: -285.5543] [train 1.91s; val 0.07s] no improve (1/50)
[Epoch 420] [train LL: -234.8102; val LL: -285.4914] [train 1.89s; val 0.06s] ✓ improved
[Epoch 421] [train LL: -234.7085; val LL: -285.2004] [train 1.92s; val 0.07s] ✓ improved
[Epoch 422] [train LL: -235.3743; val LL: -285.2840] [train 1.90s; val 0.06s] no improve (1/50)
[Epoch 423] [train LL: -234.7996; val LL: -285.1086] [train 1.91s; val 0.06s] ✓ improved
[Epoch 424] [train LL: -234.3913; val LL: -285.4917] [train 1.93s; val 0.07s] no improve (1/50)
[Epoch 425] [train LL: -233.8502; val LL: -285.1131] [train 1.93s; val 0.06s] no improve (2/50)
[Epoch 426] [train LL: -234.2478; val LL: -285.5515] [train 1.93s; val 0.06s] no improve (3/50)
[Epoch 427] [train LL: -234.0237; val LL: -285.0562] [train 1.90s; val 0.07s] ✓ improved
[Epoch 428] [train LL: -234.2296; val LL: -285.3314] [train 1.91s; val 0.06s] no improve (1/50)
[Epoch 429] [train LL: -234.3682; val LL: -285.3515] [train 1.93s; val 0.06s] no improve (2/50)
[Epoch 430] [train LL: -233.1554; val LL: -285.2223] [train 1.95s; val 0.06s] no improve (3/50)
[Epoch 431] [train LL: -234.8200; val LL: -285.2449] [train 1.96s; val 0.07s] no improve (4/50)
[Epoch 432] [train LL: -233.9882; val LL: -285.1815] [train 1.94s; val 0.06s] no improve (5/50)
[Epoch 433] [train LL: -233.4065; val LL: -285.2533] [train 1.93s; val 0.07s] no improve (6/50)
[Epoch 434] [train LL: -233.9834; val LL: -285.1842] [train 1.94s; val 0.07s] no improve (7/50)
[Epoch 435] [train LL: -234.1327; val LL: -284.7515] [train 1.92s; val 0.07s] ✓ improved
[Epoch 436] [train LL: -233.6271; val LL: -285.0817] [train 1.93s; val 0.07s] no improve (1/50)
[Epoch 437] [train LL: -233.5891; val LL: -284.6860] [train 1.93s; val 0.07s] ✓ improved
[Epoch 438] [train LL: -233.0495; val LL: -284.8944] [train 1.92s; val 0.06s] no improve (1/50)
[Epoch 439] [train LL: -233.3065; val LL: -284.9257] [train 1.93s; val 0.07s] no improve (2/50)
[Epoch 440] [train LL: -233.7397; val LL: -284.8969] [train 1.94s; val 0.07s] no improve (3/50)
[Epoch 441] [train LL: -233.0327; val LL: -284.8793] [train 1.94s; val 0.06s] no improve (4/50)
[Epoch 442] [train LL: -233.5078; val LL: -284.4929] [train 1.93s; val 0.07s] ✓ improved
[Epoch 443] [train LL: -232.7054; val LL: -284.8475] [train 1.91s; val 0.06s] no improve (1/50)
[Epoch 444] [train LL: -233.9123; val LL: -284.8789] [train 1.89s; val 0.06s] no improve (2/50)
[Epoch 445] [train LL: -233.0072; val LL: -284.7615] [train 1.90s; val 0.06s] no improve (3/50)
[Epoch 446] [train LL: -232.9140; val LL: -284.8052] [train 1.93s; val 0.07s] no improve (4/50)
[Epoch 447] [train LL: -233.3222; val LL: -284.7429] [train 1.92s; val 0.07s] no improve (5/50)
[Epoch 448] [train LL: -232.7559; val LL: -284.6443] [train 1.94s; val 0.06s] no improve (6/50)
[Epoch 449] [train LL: -233.3801; val LL: -284.7479] [train 1.93s; val 0.07s] no improve (7/50)
[Epoch 450] [train LL: -232.2388; val LL: -284.4006] [train 1.90s; val 0.06s] ✓ improved
[Epoch 451] [train LL: -233.3491; val LL: -284.1686] [train 1.90s; val 0.07s] ✓ improved
[Epoch 452] [train LL: -232.4381; val LL: -284.4364] [train 1.93s; val 0.07s] no improve (1/50)
[Epoch 453] [train LL: -232.3780; val LL: -284.4663] [train 1.95s; val 0.06s] no improve (2/50)
[Epoch 454] [train LL: -232.8347; val LL: -284.3367] [train 1.95s; val 0.06s] no improve (3/50)
[Epoch 455] [train LL: -232.2725; val LL: -284.2299] [train 1.90s; val 0.06s] no improve (4/50)
[Epoch 456] [train LL: -232.3311; val LL: -284.3428] [train 1.91s; val 0.06s] no improve (5/50)
[Epoch 457] [train LL: -233.0456; val LL: -284.3318] [train 1.91s; val 0.06s] no improve (6/50)
[Epoch 458] [train LL: -232.3812; val LL: -284.0155] [train 1.92s; val 0.07s] ✓ improved
[Epoch 459] [train LL: -232.9184; val LL: -284.1414] [train 1.96s; val 0.06s] no improve (1/50)
[Epoch 460] [train LL: -232.4474; val LL: -284.0934] [train 1.94s; val 0.07s] no improve (2/50)
[Epoch 461] [train LL: -232.0094; val LL: -284.0260] [train 1.93s; val 0.06s] no improve (3/50)
[Epoch 462] [train LL: -231.8880; val LL: -283.9503] [train 1.92s; val 0.07s] ✓ improved
[Epoch 463] [train LL: -232.4786; val LL: -283.8855] [train 1.91s; val 0.06s] ✓ improved
[Epoch 464] [train LL: -231.9634; val LL: -284.2752] [train 1.88s; val 0.06s] no improve (1/50)
[Epoch 465] [train LL: -232.3820; val LL: -284.2663] [train 1.89s; val 0.06s] no improve (2/50)
[Epoch 466] [train LL: -232.6065; val LL: -284.2344] [train 1.89s; val 0.06s] no improve (3/50)
[Epoch 467] [train LL: -232.4690; val LL: -284.2069] [train 1.88s; val 0.06s] no improve (4/50)
[Epoch 468] [train LL: -232.1853; val LL: -284.2367] [train 1.92s; val 0.07s] no improve (5/50)
[Epoch 469] [train LL: -232.0013; val LL: -283.8951] [train 1.93s; val 0.07s] no improve (6/50)
[Epoch 470] [train LL: -232.2444; val LL: -284.0211] [train 1.92s; val 0.06s] no improve (7/50)
[Epoch 471] [train LL: -231.2119; val LL: -283.9418] [train 1.89s; val 0.06s] no improve (8/50)
[Epoch 472] [train LL: -231.6572; val LL: -284.0570] [train 1.90s; val 0.06s] no improve (9/50)
[Epoch 473] [train LL: -231.9582; val LL: -283.8993] [train 1.90s; val 0.07s] no improve (10/50)
[Epoch 474] [train LL: -231.8766; val LL: -283.8442] [train 1.90s; val 0.06s] ✓ improved
[Epoch 475] [train LL: -231.4699; val LL: -283.8933] [train 1.91s; val 0.07s] no improve (1/50)
[Epoch 476] [train LL: -232.4373; val LL: -283.8289] [train 1.93s; val 0.07s] ✓ improved
[Epoch 477] [train LL: -231.5451; val LL: -283.4684] [train 1.92s; val 0.06s] ✓ improved
[Epoch 478] [train LL: -231.6413; val LL: -283.3821] [train 1.97s; val 0.07s] ✓ improved
[Epoch 479] [train LL: -231.8492; val LL: -283.3074] [train 1.93s; val 0.07s] ✓ improved
[Epoch 480] [train LL: -231.1738; val LL: -283.1866] [train 1.93s; val 0.07s] ✓ improved
[Epoch 481] [train LL: -230.8203; val LL: -283.5463] [train 1.93s; val 0.07s] no improve (1/50)
[Epoch 482] [train LL: -231.3398; val LL: -283.5903] [train 1.93s; val 0.06s] no improve (2/50)
[Epoch 483] [train LL: -231.2635; val LL: -283.4297] [train 1.93s; val 0.06s] no improve (3/50)
[Epoch 484] [train LL: -231.7244; val LL: -283.0186] [train 1.89s; val 0.07s] ✓ improved
[Epoch 485] [train LL: -231.2313; val LL: -282.9435] [train 1.90s; val 0.06s] ✓ improved
[Epoch 486] [train LL: -231.5398; val LL: -282.9597] [train 1.90s; val 0.06s] no improve (1/50)
[Epoch 487] [train LL: -230.6263; val LL: -282.9800] [train 1.94s; val 0.07s] no improve (2/50)
[Epoch 488] [train LL: -231.4295; val LL: -282.9364] [train 1.91s; val 0.06s] ✓ improved
[Epoch 489] [train LL: -230.6586; val LL: -282.9561] [train 1.93s; val 0.07s] no improve (1/50)
[Epoch 490] [train LL: -230.8888; val LL: -282.8785] [train 1.93s; val 0.06s] ✓ improved
[Epoch 491] [train LL: -230.7913; val LL: -283.0436] [train 1.92s; val 0.07s] no improve (1/50)
[Epoch 492] [train LL: -231.4440; val LL: -283.0395] [train 1.92s; val 0.07s] no improve (2/50)
[Epoch 493] [train LL: -231.5064; val LL: -282.7994] [train 1.90s; val 0.06s] ✓ improved
[Epoch 494] [train LL: -230.9682; val LL: -282.8206] [train 1.92s; val 0.06s] no improve (1/50)
[Epoch 495] [train LL: -230.5437; val LL: -282.7232] [train 1.90s; val 0.06s] ✓ improved
[Epoch 496] [train LL: -231.9710; val LL: -282.7535] [train 1.89s; val 0.06s] no improve (1/50)
[Epoch 497] [train LL: -231.7038; val LL: -282.7919] [train 1.88s; val 0.06s] no improve (2/50)
[Epoch 498] [train LL: -230.6345; val LL: -282.7254] [train 1.89s; val 0.06s] no improve (3/50)
[Epoch 499] [train LL: -230.8896; val LL: -282.7156] [train 1.89s; val 0.07s] ✓ improved
[Epoch 500] [train LL: -231.3938; val LL: -282.7539] [train 1.90s; val 0.06s] no improve (1/50)
[Epoch 501] [train LL: -230.5247; val LL: -282.7246] [train 1.89s; val 0.06s] no improve (2/50)
[Epoch 502] [train LL: -230.4796; val LL: -282.6308] [train 1.90s; val 0.06s] ✓ improved
[Epoch 503] [train LL: -230.4599; val LL: -282.7021] [train 1.91s; val 0.06s] no improve (1/50)
[Epoch 504] [train LL: -230.3460; val LL: -282.6793] [train 1.92s; val 0.07s] no improve (2/50)
[Epoch 505] [train LL: -230.8545; val LL: -282.7294] [train 1.93s; val 0.07s] no improve (3/50)
[Epoch 506] [train LL: -230.0642; val LL: -282.5974] [train 1.92s; val 0.07s] ✓ improved
[Epoch 507] [train LL: -230.1106; val LL: -282.5780] [train 1.94s; val 0.07s] ✓ improved
[Epoch 508] [train LL: -231.1272; val LL: -282.7888] [train 1.94s; val 0.07s] no improve (1/50)
[Epoch 509] [train LL: -230.2591; val LL: -282.7325] [train 1.93s; val 0.06s] no improve (2/50)
[Epoch 510] [train LL: -230.0860; val LL: -282.4203] [train 1.91s; val 0.06s] ✓ improved
[Epoch 511] [train LL: -229.7721; val LL: -282.3295] [train 1.90s; val 0.06s] ✓ improved
[Epoch 512] [train LL: -230.8853; val LL: -282.3483] [train 1.93s; val 0.07s] no improve (1/50)
[Epoch 513] [train LL: -230.9362; val LL: -282.3381] [train 1.91s; val 0.06s] no improve (2/50)
[Epoch 514] [train LL: -230.7932; val LL: -282.7284] [train 1.90s; val 0.06s] no improve (3/50)
[Epoch 515] [train LL: -230.8324; val LL: -282.5820] [train 1.91s; val 0.07s] no improve (4/50)
[Epoch 516] [train LL: -229.6796; val LL: -282.5423] [train 1.91s; val 0.06s] no improve (5/50)
[Epoch 517] [train LL: -230.2361; val LL: -282.3903] [train 1.92s; val 0.07s] no improve (6/50)
[Epoch 518] [train LL: -230.1416; val LL: -282.2209] [train 1.94s; val 0.07s] ✓ improved
[Epoch 519] [train LL: -230.2521; val LL: -282.1725] [train 1.93s; val 0.06s] ✓ improved
[Epoch 520] [train LL: -230.7142; val LL: -282.5807] [train 1.91s; val 0.06s] no improve (1/50)
[Epoch 521] [train LL: -230.3047; val LL: -282.6360] [train 1.90s; val 0.06s] no improve (2/50)
[Epoch 522] [train LL: -230.3308; val LL: -282.5920] [train 1.93s; val 0.07s] no improve (3/50)
[Epoch 523] [train LL: -230.0186; val LL: -282.1891] [train 1.93s; val 0.06s] no improve (4/50)
[Epoch 524] [train LL: -229.8068; val LL: -282.1892] [train 1.93s; val 0.06s] no improve (5/50)
[Epoch 525] [train LL: -229.6407; val LL: -282.2840] [train 1.91s; val 0.07s] no improve (6/50)
[Epoch 526] [train LL: -229.5733; val LL: -282.3841] [train 1.92s; val 0.06s] no improve (7/50)
[Epoch 527] [train LL: -230.1098; val LL: -282.3988] [train 1.90s; val 0.06s] no improve (8/50)
[Epoch 528] [train LL: -229.8244; val LL: -282.3258] [train 1.89s; val 0.06s] no improve (9/50)
[Epoch 529] [train LL: -229.2083; val LL: -282.0461] [train 1.92s; val 0.07s] ✓ improved
[Epoch 530] [train LL: -230.0413; val LL: -282.0626] [train 1.92s; val 0.06s] no improve (1/50)
[Epoch 531] [train LL: -230.0880; val LL: -282.5743] [train 1.97s; val 0.06s] no improve (2/50)
[Epoch 532] [train LL: -229.1787; val LL: -282.2728] [train 1.97s; val 0.07s] no improve (3/50)
[Epoch 533] [train LL: -228.9550; val LL: -281.8740] [train 1.92s; val 0.07s] ✓ improved
[Epoch 534] [train LL: -229.1281; val LL: -282.1385] [train 1.92s; val 0.07s] no improve (1/50)
[Epoch 535] [train LL: -228.9799; val LL: -282.0198] [train 1.94s; val 0.07s] no improve (2/50)
[Epoch 536] [train LL: -229.3333; val LL: -282.1037] [train 1.93s; val 0.06s] no improve (3/50)
[Epoch 537] [train LL: -229.1423; val LL: -281.9800] [train 1.92s; val 0.06s] no improve (4/50)
